Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bolivia Plurinational States of ,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,94,94,93,91,91,92,94,95,94,96,96,95,96,96,97,97,97,98
Bolivia Plurinational States of ,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,34,33,34,32,33,32,32,31,30,30,33,33,34,34,31,27,28,25
Bolivia Plurinational States of ,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
Bolivia Plurinational States of ,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,24,25,24,25,25,29,32,39,47,56,61,72,79,96,115,133,138,151
Bolivia Plurinational States of ,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,17,18,18,18,18,20,22,24,28,32,39,45,54,62,64,63,68,64
Bolivia Plurinational States of ,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,15,15,15,15,16,17,19,20,24,28,34,40,48,56,57,55,60,55
Bolivia Plurinational States of ,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,3,2,3,2,2,3,2,2,2,2,2,2,3,3,2,3,2,2
Bolivia Plurinational States of ,General government expenditure ,Million NCU,"15,223","17,189","18,871","19,803","22,520","25,558","27,372","33,635","42,645","43,602","43,430","58,773","67,447","81,418","98,627","101,680","93,647","100,039"
Brazil,Current Health Expenditure (CHE) per Capita in US$,,312,269,246,251,294,383,483,600,704,718,892,"1,025",951,974,"1,010",776,796,929
Brazil,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,9,9,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9
Brazil,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100
Brazil,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,37,38,36,35,35,36,34,33,31,31,29,29,30,28,28,28,27,27
Brazil,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,4,4
Brazil,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,130,111,104,107,126,160,208,255,308,317,401,456,412,434,445,333,342,389
Brazil,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,181,158,141,143,167,223,275,345,396,400,488,566,537,540,564,442,453,539
Brazil,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,114,102,90,89,104,138,166,199,217,224,262,300,282,275,285,221,218,255
Brazil,General government expenditure ,Million NCU,"413,470","476,739","579,357","704,253","748,582","863,633","944,632","1,023,660","1,163,530","1,236,800","1,507,550","1,644,450","1,792,440","1,996,500","2,198,390","2,317,140","2,497,050","2,533,370"
Canada,Current Health Expenditure (CHE) per Capita in US$,,"1,999","2,054","2,151","2,552","2,913","3,283","3,767","4,190","4,454","4,348","5,044","5,361","5,409","5,345","5,082","4,539","4,518","4,755"
Canada,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,9,9,9,9,9,9,9,10,11,11,10,10,10,10,11,11,11
Canada,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Canada,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,17,16,16,15,15,15,15,15,15,14,15,14,14,14,14,14,14,14
Canada,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,6,6,6,7,7,7,7,7,7,8,8,8,8,8,7,8,8,8
Canada,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,"1,456","1,496","1,558","1,866","2,129","2,398","2,758","3,078","3,280","3,221","3,722","3,990","4,031","3,983","3,785","3,387","3,339","3,505"
Canada,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,543,559,593,685,785,885,"1,009","1,112","1,173","1,127","1,322","1,371","1,378","1,362","1,297","1,153","1,179","1,250"
Canada,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,332,327,342,389,445,505,570,620,653,622,739,748,745,729,693,615,638,676
Canada,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,General government expenditure ,Million NCU,"448,596","470,432","482,179","505,358","522,734","547,605","578,599","607,700","642,524","682,285","717,466","737,571","747,804","760,152","765,452","796,543","822,452","861,971"
Chile,Current Health Expenditure (CHE) per Capita in US$,,359,329,324,351,429,502,572,650,727,738,871,996,"1,083","1,187","1,155","1,140","1,191","1,382"
Chile,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,7,7,7,7,6,6,7,7,7,7,7,7,8,8,9,9
Chile,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Chile,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,43,43,42,43,42,42,41,39,37,35,34,34,33,34,34,35,35,34
Chile,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4
Chile,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,128,120,122,134,169,197,237,275,316,346,410,470,519,566,551,547,591,692
Chile,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,230,209,203,217,259,304,336,375,410,392,461,526,564,621,604,593,600,690
Chile,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,154,140,138,150,179,213,233,255,272,255,300,344,362,399,396,393,414,463
Chile,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,58,58,58,58,59,55,56,56,58,61,61,61,60,62,64,66,67,69
Chile,General government expenditure ,Million NCU,"9,654,580","10,526,390","11,236,270","11,752,890","12,571,040","13,864,130","15,279,600","17,406,740","20,454,690","24,011,250","26,009,860","27,805,330","30,008,080","31,788,190","35,290,750","39,699,370","42,810,200","45,703,650"
Colombia,Current Health Expenditure (CHE) per Capita in US$,,130,134,128,126,155,204,234,302,369,374,441,489,534,586,570,444,419,459
Colombia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
Colombia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,99,98,99,99,99,100,100,100,100,100,99,100,100,100,100,100
Colombia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,14,13,11,9,14,16,18,19,21,18,17,15,18,17,16,16,16,16
Colombia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
Colombia,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,97,101,98,97,114,147,168,213,256,270,319,360,373,410,401,311,288,311
Colombia,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,33,33,29,26,39,56,64,87,113,104,122,129,158,176,169,133,131,148
Colombia,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,18,18,15,11,21,33,42,58,77,67,75,75,95,98,94,71,69,75
Colombia,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,29,29,29,29,29,29,29,29,29,29,29,29,29,45,58,58,56,57
Colombia,General government expenditure ,Million NCU,"55,106,930","62,193,850","68,438,000","75,813,230","81,313,890","87,471,640","108,552,220","120,816,160","127,887,560","148,980,260","160,177,850","178,027,120","187,773,260","205,972,420","223,937,210","238,974,290","238,554,920","257,832,890"
Costa Rica,Current Health Expenditure (CHE) per Capita in US$,,251,259,280,292,295,314,366,430,519,538,665,755,790,832,838,891,887,869
Costa Rica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,7
Costa Rica,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Costa Rica,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,32,32,31,31,32,33,31,31,30,26,25,26,25,23,24,23,22,21
Costa Rica,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,4,4,5,5,4,4,5,5,5,6,6,6,6,6,6,6,6,5
Costa Rica,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,163,170,187,194,195,201,242,285,352,382,481,530,559,590,595,648,650,639
Costa Rica,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,85,86,92,97,99,113,124,145,166,155,183,224,231,241,243,243,236,230
Costa Rica,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,79,82,86,90,94,103,114,133,153,142,169,195,194,193,205,201,197,185
Costa Rica,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,3,8,5,6,4,5,4
Costa Rica,General government expenditure ,Million NCU,"780,615","907,863","1,106,650","1,209,580","1,386,020","1,587,970","1,804,390","2,061,750","2,535,590","2,969,510","3,623,080","3,762,440","4,177,720","4,765,280","5,230,810","5,647,130","6,023,750","6,610,240"
Cuba,Current Health Expenditure (CHE) per Capita in US$,,180,198,213,227,232,331,386,569,608,674,607,693,598,705,856,975,973,988
Cuba,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,7,7,7,9,8,11,11,12,11,11,9,10,12,13,12,12
Cuba,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cuba,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,16,19,19,20,20,15,14,10,9,8,9,11,13,12,10,10,10,10
Cuba,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,6,6,6,6,5,7,7,10,10,11,10,10,8,9,11,12,11,10
Cuba,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,151,161,172,180,185,281,331,512,553,619,551,616,518,618,773,881,872,883
Cuba,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,29,37,41,46,45,49,55,56,54,55,56,75,78,87,83,94,100,104
Cuba,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,29,37,41,46,45,49,55,56,54,55,56,75,78,87,83,94,100,104
Cuba,General government expenditure ,Million NCU,"15,587","15,771","17,193","18,622","20,241","27,156","33,327","39,993","47,493","46,908","45,013","46,015","51,305","49,857","49,033","55,277","57,813","63,906"
Dominica,Current Health Expenditure (CHE) per Capita in US$,,251,261,260,262,268,270,288,319,352,385,385,373,393,372,396,396,412,440
Dominica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,5,5,5,5,6,6,5,6,5,5,5,5,6
Dominica,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,97,98,95,97,96,97,96,93,98,95,96,97,95,97,96,98,95,97
Dominica,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,34,36,36,36,38,38,37,38,41,38,36,37,35,35,34,31,29,31
Dominica,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
Dominica,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,157,159,153,156,154,157,168,170,196,219,227,220,230,226,241,261,269,286
Dominica,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,86,96,95,98,104,106,108,126,148,149,142,141,143,134,138,125,123,140
Dominica,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,84,93,93,95,101,103,105,122,144,145,138,137,139,130,135,122,120,136
Dominica,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,,,,,,,,,,,,0,,,,,,
Dominica,General government expenditure ,Million NCU,350,269,261,289,299,315,325,404,444,476,530,469,481,460,455,488,666,784
Dominican Republic,Current Health Expenditure (CHE) per Capita in US$,,139,144,153,105,105,169,161,195,236,251,304,328,352,351,371,391,414,433
Dominican Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6
Dominican Republic,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,98,97,95,97,98,98,99,98,98,99,99,100,99,99,94,93,99,99
Dominican Republic,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,55,55,53,62,62,54,55,48,44,43,44,42,43,42,42,43,45,45
Dominican Republic,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,1,1,1,1,2,2,2,3,3,3,3,3,2,3,3
Dominican Republic,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,49,50,52,28,28,54,57,78,106,115,137,158,165,169,159,160,189,199
Dominican Republic,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,88,89,93,74,75,112,103,113,126,134,165,169,182,180,189,202,222,231
Dominican Republic,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,77,78,82,65,65,91,88,93,103,108,133,139,151,148,158,168,185,194
Dominican Republic,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,27,25,25,22,41,54,65,45,21,21,18,24,22,20,17,21,21,19
Dominican Republic,General government expenditure ,Million NCU,"57,179","67,232","75,648","119,521","159,845","164,072","203,835","237,327","303,843","282,076","313,323","352,462","480,010","463,458","504,039","543,993","580,793","653,889"
Ecuador,Current Health Expenditure (CHE) per Capita in US$,,48,71,97,132,150,169,191,211,249,274,332,411,484,520,551,528,506,518
Ecuador,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,4,4,5,6,6,6,6,6,6,7,8,8,9,9,9,8,8
Ecuador,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,97,98,99,99,99,99,99,99,99,99,99,100,100,100,100,100,100,99
Ecuador,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,64,61,63,62,61,63,61,54,52,51,48,45,44,42,42,44,40,39
Ecuador,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
Ecuador,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,14,24,31,41,47,51,61,80,98,113,149,195,238,267,285,261,258,274
Ecuador,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,33,46,65,91,102,117,128,128,149,159,181,215,244,253,265,265,246,242
Ecuador,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,31,44,61,82,92,106,116,113,130,139,158,187,211,220,232,232,204,204
Ecuador,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,General government expenditure ,Million NCU,"4,253","4,947","6,161","6,587","7,493","8,880","9,928","12,305","21,761","20,610","24,123","31,290","35,394","41,607","44,346","39,398","38,540","38,154"
El Salvador,Current Health Expenditure (CHE) per Capita in US$,,179,184,187,186,194,206,209,214,226,241,246,267,259,272,276,283,294,282
El Salvador,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7
El Salvador,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,99,98,98,98,97,97,94,94,93,87,91,95,97,96,96,98,98,100
El Salvador,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,52,51,49,49,46,43,33,35,35,33,33,31,32,28,28,28,27,29
El Salvador,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,4,4,4,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5
El Salvador,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,79,80,85,86,92,104,120,116,122,120,133,159,155,170,172,182,189,180
El Salvador,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,98,100,99,97,96,96,77,85,88,91,91,93,95,90,93,95,98,102
El Salvador,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,93,93,92,91,89,88,69,76,78,80,81,82,83,77,78,79,80,82
El Salvador,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,General government expenditure ,Million NCU,"2,516","2,532","2,652","2,951","2,892","3,187","3,548","3,736","4,123","4,422","4,620","4,982","5,196","5,373","5,363","5,520","5,743","5,968"
Grenada,Current Health Expenditure (CHE) per Capita in US$,,272,285,316,313,310,368,408,433,463,449,456,460,450,452,405,440,464,497
Grenada,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,6,6,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5
Grenada,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,98,98,98,98,99,99,97,98,96,96,94,97,100,100,100,98,99,99
Grenada,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,60,57,53,52,48,46,45,49,51,49,49,51,54,55,50,52,49,52
Grenada,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,3,3,3,3,2,3,3,3,2,2,2,2,2,2
Grenada,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,91,106,131,130,146,182,198,194,191,196,187,194,188,186,185,182,214,212
Grenada,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,175,173,179,176,159,182,196,228,254,236,243,251,260,265,219,248,245,280
Grenada,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,163,161,167,164,148,169,183,212,236,219,226,233,242,247,203,231,228,261
Grenada,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,General government expenditure ,Million NCU,366,421,530,471,407,506,618,576,632,583,588,605,576,640,718,691,686,687
Guatemala,Current Health Expenditure (CHE) per Capita in US$,,84,100,108,114,122,132,149,158,175,168,174,189,198,213,219,234,249,260
Guatemala,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6
Guatemala,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,97,98,98,97,97,98,97,97,98,96,97,97,96,98,97,98,98,99
Guatemala,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,59,62,62,62,60,62,62,62,59,57,59,59,58,57,55,55,53,54
Guatemala,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Guatemala,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,30,33,35,38,40,40,48,51,59,60,58,63,66,75,81,87,91,93
Guatemala,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,52,66,71,73,79,89,96,103,112,102,111,120,124,133,132,142,153,164
Guatemala,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,50,63,67,70,73,83,91,98,103,96,102,111,116,122,121,129,132,141
Guatemala,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,General government expenditure ,Million NCU,"19,110","21,327","22,541","26,333","25,542","28,500","33,721","37,382","40,355","43,709","48,385","53,511","55,320","58,269","60,819","59,891","63,080","67,275"
Guyana,Current Health Expenditure (CHE) per Capita in US$,,58,60,65,68,81,91,98,121,126,142,165,178,186,199,207,188,233,231
Guyana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Guyana,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,98,98,95,83,80,76,73,77,71,71,78,85,89,92,93,96,95
Guyana,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,43,42,40,38,34,34,37,37,42,37,37,38,40,39,37,40,30,32
Guyana,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3
Guyana,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,31,32,36,36,37,39,35,39,39,43,51,65,78,95,108,94,147,138
Guyana,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,27,27,28,28,30,33,39,48,57,57,66,74,80,83,84,81,76,81
Guyana,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,25,25,26,26,28,31,36,44,53,53,61,68,74,77,77,75,70,75
Guyana,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,General government expenditure ,Million NCU,"62,471","67,665","68,532","72,539","77,728","97,083","110,215","114,641","122,424","135,606","142,272","161,066","182,692","184,704","198,320","193,396","234,306","259,597"
Haiti,Current Health Expenditure (CHE) per Capita in US$,,29,27,22,18,23,25,29,37,40,41,55,75,73,58,64,67,59,62
Haiti,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,6,6,6,6,6,6,6,6,8,10,10,7,8,9,8,8
Haiti,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,69,67,65,66,67,67,55,65,64,65,54,35,39,52,45,49,51,57
Haiti,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,44,45,48,48,46,46,43,40,39,39,33,26,28,36,31,34,35,40
Haiti,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Haiti,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,6,5,3,3,4,4,2,8,9,9,10,5,6,7,7,7,7,7
Haiti,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,14,13,11,9,12,12,13,16,17,17,20,21,23,23,22,26,23,28
Haiti,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,13,12,10,9,11,11,12,15,15,16,18,20,21,21,20,23,21,25
Haiti,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,General government expenditure ,Million NCU,"8,352","9,206","10,898","15,306","17,766","24,594","30,101","39,775","45,197","54,495","60,558","74,178","93,831","102,499","99,116","92,567","89,800","100,364"
Honduras,Current Health Expenditure (CHE) per Capita in US$,,71,70,74,81,86,102,117,131,152,162,169,186,188,181,183,181,195,196
Honduras,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,7,7,8,8,8,9,9,9,9,9,8,8,8,8,8
Honduras,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,97,96,94,90,88,90,92,94,93,92,93,94,93,91,91,93,93,95
Honduras,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,45,51,50,48,49,48,49,49,51,45,46,46,50,49,47,49,47,49
Honduras,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,2,3,3,2,3,3,3,3,4,4,4,3,3,3,3,3,3
Honduras,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,33,28,29,31,30,39,47,53,59,72,71,83,74,69,71,70,80,79
Honduras,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,35,39,40,42,46,52,61,69,82,78,84,92,102,97,95,98,101,107
Honduras,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,32,36,37,39,42,49,57,65,78,73,78,85,94,89,86,89,91,95
Honduras,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,General government expenditure ,Million NCU,"23,569","29,682","34,628","37,763","41,255","43,382","50,321","57,104","69,302","78,146","79,201","86,812","95,237","111,364","114,596","119,806","135,796","145,947"
Jamaica,Current Health Expenditure (CHE) per Capita in US$,,196,181,175,158,196,182,194,236,267,207,235,252,260,262,254,279,280,307
Jamaica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,5,5,5,5,4,4,5,5,5,5,5,5,5,5,6,6,6
Jamaica,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,98,97,97,97,98,97,98,98,98,97,97,97,96,98,97,99,99,98
Jamaica,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,29,38,26,32,25,30,27,32,31,25,25,23,21,18,21,19,18,17
Jamaica,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,4,4,4
Jamaica,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,108,82,100,79,119,94,111,127,147,125,143,153,149,161,148,177,179,199
Jamaica,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,83,94,70,75,74,82,79,104,115,76,86,90,101,97,99,99,97,102
Jamaica,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,57,68,46,51,49,54,53,76,83,51,58,59,55,48,54,53,50,53
Jamaica,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,,,,,66,62,50,47,56,61,59,49,55,44,44,45,46,46
Jamaica,General government expenditure ,Million NCU,"104,193","123,792","149,905","181,575","201,443","210,400","250,752","286,789","352,230","421,458","388,768","403,192","399,279","395,242","419,491","460,720","503,356","552,050"
Mexico,Current Health Expenditure (CHE) per Capita in US$,,310,354,375,401,435,472,501,543,557,478,539,565,581,618,596,539,475,495
Mexico,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Mexico,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mexico,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,52,53,54,56,54,55,54,52,49,47,46,43,43,41,40,40,41,41
Mexico,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3
Mexico,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,140,155,160,167,189,199,215,238,256,223,262,290,300,326,317,286,249,255
Mexico,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,170,199,215,235,246,273,286,305,301,255,277,275,281,292,279,253,226,240
Mexico,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,162,189,204,223,234,258,269,285,270,226,246,241,247,255,238,218,192,204
Mexico,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,16
Mexico,General government expenditure ,Million NCU,"1,360,280","1,453,700","1,547,350","1,776,230","1,892,150","2,115,510","2,399,340","2,713,050","3,426,110","3,380,620","3,699,060","4,064,770","4,462,810","4,521,380","4,887,990","5,106,620","5,505,760","5,638,150"
Nicaragua,Current Health Expenditure (CHE) per Capita in US$,,53,57,57,54,65,71,75,93,106,110,108,125,137,139,158,166,188,192
Nicaragua,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,6,5,6,6,6,7,7,8,7,7,8,8,8,8,9,9
Nicaragua,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,97,91,94,89,87,87,89,87,89,88,85,89,87,92,94,93,94,93
Nicaragua,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,44,41,46,45,42,40,44,42,42,39,41,38,37,37,35,35,32,33
Nicaragua,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,3,3,2,3,3,3,3,3,4,3,4,4,4,5,4,5,5
